DateTimeUTC,FIFA_ID,MatchNo,Home,Away,OldScore,NewScore,Action
2026-06-26 09:55:39 UTC,400021443,1,MEX,RSA,,2-0,INSERT
2026-06-26 09:55:39 UTC,400021441,2,KOR,CZE,,2-1,INSERT
2026-06-26 09:55:39 UTC,400021449,3,CAN,BIH,,1-1,INSERT
2026-06-26 09:55:39 UTC,400021458,4,USA,PAR,,4-1,INSERT
2026-06-26 09:55:39 UTC,400021447,5,QAT,SUI,,1-1,INSERT
2026-06-26 09:55:39 UTC,400021456,6,BRA,MAR,,1-1,INSERT
2026-06-26 09:55:39 UTC,400021453,7,HAI,SCO,,0-1,INSERT
2026-06-26 09:55:39 UTC,400021463,8,AUS,TUR,,2-0,INSERT
2026-06-26 09:55:39 UTC,400021464,9,GER,CUW,,7-1,INSERT
2026-06-26 09:55:39 UTC,400021470,10,NED,JPN,,2-2,INSERT
2026-06-26 09:55:39 UTC,400021467,11,CIV,ECU,,1-0,INSERT
2026-06-26 09:55:39 UTC,400021474,12,SWE,TUN,,5-1,INSERT
2026-06-26 09:55:39 UTC,400021482,13,ESP,CPV,,0-0,INSERT
2026-06-26 09:55:39 UTC,400021478,14,BEL,EGY,,1-1,INSERT
2026-06-26 09:55:39 UTC,400021486,15,KSA,URU,,1-1,INSERT
2026-06-26 09:55:39 UTC,400021476,16,IRN,NZL,,2-2,INSERT
2026-06-26 09:55:39 UTC,400021490,17,FRA,SEN,,3-1,INSERT
2026-06-26 09:55:39 UTC,400021488,18,IRQ,NOR,,1-4,INSERT
2026-06-26 09:55:39 UTC,400021496,19,ARG,ALG,,3-0,INSERT
2026-06-26 09:55:39 UTC,400021498,20,AUT,JOR,,3-1,INSERT
2026-06-26 09:55:39 UTC,400021502,21,POR,COD,,1-1,INSERT
2026-06-26 09:55:39 UTC,400021507,22,ENG,CRO,,4-2,INSERT
2026-06-26 09:55:39 UTC,400021510,23,GHA,PAN,,1-0,INSERT
2026-06-26 09:55:39 UTC,400021504,24,UZB,COL,,1-3,INSERT
2026-06-26 09:55:39 UTC,400021440,25,CZE,RSA,,1-1,INSERT
2026-06-26 09:55:39 UTC,400021446,26,SUI,BIH,,4-1,INSERT
2026-06-26 09:55:39 UTC,400021450,27,CAN,QAT,,6-0,INSERT
2026-06-26 09:55:39 UTC,400021442,28,MEX,KOR,,1-0,INSERT
2026-06-26 09:55:39 UTC,400021462,29,USA,AUS,,2-0,INSERT
2026-06-26 09:55:39 UTC,400021454,30,SCO,MAR,,0-1,INSERT
2026-06-26 09:55:39 UTC,400021457,31,BRA,HAI,,3-0,INSERT
2026-06-26 09:55:39 UTC,400021460,32,TUR,PAR,,0-1,INSERT
2026-06-26 09:55:39 UTC,400021472,33,NED,SWE,,5-1,INSERT
2026-06-26 09:55:39 UTC,400021469,34,GER,CIV,,2-1,INSERT
2026-06-26 09:55:39 UTC,400021465,35,ECU,CUW,,0-0,INSERT
2026-06-26 09:55:39 UTC,400021475,36,TUN,JPN,,0-4,INSERT
2026-06-26 09:55:39 UTC,400021483,37,ESP,KSA,,4-0,INSERT
2026-06-26 09:55:39 UTC,400021477,38,BEL,IRN,,0-0,INSERT
2026-06-26 09:55:39 UTC,400021487,39,URU,CPV,,2-2,INSERT
2026-06-26 09:55:39 UTC,400021480,40,NZL,EGY,,1-3,INSERT
2026-06-26 09:55:39 UTC,400021494,41,ARG,AUT,,2-0,INSERT
2026-06-26 09:55:39 UTC,400021492,42,FRA,IRQ,,3-0,INSERT
2026-06-26 09:55:39 UTC,400021491,43,NOR,SEN,,3-2,INSERT
2026-06-26 09:55:39 UTC,400021499,44,JOR,ALG,,1-2,INSERT
2026-06-26 09:55:39 UTC,400021503,45,POR,UZB,,5-0,INSERT
2026-06-26 09:55:39 UTC,400021506,46,ENG,GHA,,0-0,INSERT
2026-06-26 09:55:39 UTC,400021511,47,PAN,CRO,,0-1,INSERT
2026-06-26 09:55:39 UTC,400021501,48,COL,COD,,1-0,INSERT
2026-06-26 09:55:39 UTC,400021448,49,BIH,QAT,,3-1,INSERT
2026-06-26 09:55:39 UTC,400021451,50,SUI,CAN,,2-1,INSERT
2026-06-26 09:55:39 UTC,400021452,51,MAR,HAI,,4-2,INSERT
2026-06-26 09:55:39 UTC,400021455,52,SCO,BRA,,0-3,INSERT
2026-06-26 09:55:39 UTC,400021445,53,RSA,KOR,,1-0,INSERT
2026-06-26 09:55:39 UTC,400021444,54,CZE,MEX,,0-3,INSERT
2026-06-26 09:55:39 UTC,400021468,55,CUW,CIV,,0-2,INSERT
2026-06-26 09:55:39 UTC,400021466,56,ECU,GER,,2-1,INSERT
2026-06-26 09:55:39 UTC,400021473,57,TUN,NED,,1-3,INSERT
2026-06-26 09:55:39 UTC,400021471,58,JPN,SWE,,1-1,INSERT
2026-06-26 09:55:39 UTC,400021461,59,PAR,AUS,,0-0,INSERT
2026-06-26 09:55:39 UTC,400021459,60,TUR,USA,,3-2,INSERT
2026-06-28 15:12:52 UTC,400021493,61,SEN,IRQ,,5-0,INSERT
2026-06-28 15:12:52 UTC,400021489,62,NOR,FRA,,1-4,INSERT
2026-06-28 15:12:52 UTC,400021484,63,URU,ESP,,0-1,INSERT
2026-06-28 15:12:52 UTC,400021485,64,CPV,KSA,,0-0,INSERT
2026-06-28 15:12:52 UTC,400021481,65,NZL,BEL,,1-5,INSERT
2026-06-28 15:12:52 UTC,400021479,66,EGY,IRN,,1-1,INSERT
2026-06-28 15:12:52 UTC,400021508,67,PAN,ENG,,0-2,INSERT
2026-06-28 15:12:52 UTC,400021509,68,CRO,GHA,,2-1,INSERT
2026-06-28 15:12:52 UTC,400021500,69,COD,UZB,,3-1,INSERT
2026-06-28 15:12:52 UTC,400021505,70,COL,POR,,0-0,INSERT
2026-06-28 15:12:52 UTC,400021497,71,ALG,AUT,,3-3,INSERT
2026-06-28 15:12:52 UTC,400021495,72,JOR,ARG,,1-3,INSERT
2026-07-01 12:15:52 UTC,400021518,73,RSA,CAN,,0-1,INSERT
2026-07-01 12:15:52 UTC,400021516,74,BRA,JPN,,2-1,INSERT
2026-07-01 12:15:52 UTC,400021513,75,GER,PAR,,1-1,INSERT
2026-07-01 12:15:52 UTC,400021522,76,NED,MAR,,1-1,INSERT
2026-07-01 12:15:52 UTC,400021514,77,CIV,NOR,,1-2,INSERT
2026-07-01 12:15:52 UTC,400021523,78,FRA,SWE,,3-0,INSERT
2026-07-01 12:15:52 UTC,400021520,79,MEX,ECU,,2-0,INSERT
2026-07-03 04:58:50 UTC,400021512,80,ENG,COD,,2-1,INSERT
2026-07-03 04:58:50 UTC,400021525,81,BEL,SEN,,3-2,INSERT
2026-07-03 04:58:50 UTC,400021524,82,USA,BIH,,2-0,INSERT
2026-07-03 04:58:50 UTC,400021519,83,ESP,AUT,,3-0,INSERT
2026-07-03 04:58:50 UTC,400021526,84,POR,CRO,,2-1,INSERT
2026-07-03 04:58:50 UTC,400021527,85,SUI,ALG,,2-0,INSERT
2026-07-06 06:36:22 UTC,400021515,86,AUS,EGY,,1-1,INSERT
2026-07-06 06:36:22 UTC,400021521,87,ARG,CPV,,3-2,INSERT
2026-07-06 06:36:22 UTC,400021517,88,COL,GHA,,1-0,INSERT
2026-07-06 06:36:22 UTC,400021530,89,CAN,MAR,,0-3,INSERT
2026-07-06 06:36:22 UTC,400021533,90,PAR,FRA,,0-1,INSERT
2026-07-06 06:36:22 UTC,400021532,91,BRA,NOR,,1-2,INSERT
2026-07-06 06:36:22 UTC,400021531,92,MEX,ENG,,2-3,INSERT
2026-07-07 04:54:30 UTC,400021529,93,POR,ESP,,0-1,INSERT
2026-07-07 04:54:30 UTC,400021534,94,USA,BEL,,1-4,INSERT
2026-07-08 05:42:39 UTC,400021528,95,ARG,EGY,,3-2,INSERT
2026-07-08 05:42:39 UTC,400021535,96,SUI,COL,,0-0,INSERT
